"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BT1","2x Milwuakee M18","","","1",""
"C1,C11,C21,C22,C23","0.1uF","","","5",""
"C10","100uF","","","1",""
"C17,C18,C19,C20","1uF","","","4",""
"J1","MagEncoder","","Connector_Molex:Molex_CLIK-Mate_502382-0870_1x08-1MP_P1.25mm_Vertical","1",""
"J3","Analog","","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","1",""
"J4","Digital","","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","1",""
"J5,J10","NANO_USB","","","2",""
"J7","Conn_01x08_Socket","","Connector_Molex:Molex_Micro-Fit_3.0_43045-0812_2x04_P3.00mm_Vertical","1",""
"J11","CAM1","","","1",""
"J12","CAM2","","","1",""
"J13","GNSS_ANT","","","1",""
"MOT1","FaulHaber_motor1","","","1",""
"R1","10kO","","","1",""
"R2","22kO","","","1",""
"SEN1","LiDAR_OS1","","","1",""
"SEN2","IMU_EllipseN","","Connector_Molex:Molex_Micro-Fit_3.0_43045-1012_2x05_P3.00mm_Vertical","1",""
"SEN3","Aluvium GT2-188 Camera,Aluvium GT2-811 Camera","","","1",""
"U2","SC2804 Motor Controller","","","1",""
"U3","Jetson Orin","","","1",""
"U4","IMU_TO_PropPCB,TXS0104ED","www.ti.com/lit/ds/symlink/txs0104e.pdf","Connector_Molex:Molex_Micro-Fit_3.0_43045-0812_2x04_P3.00mm_Vertical,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1",""
"U5","MAX3232","https://datasheets.maximintegrated.com/en/ds/MAX3222-MAX3241.pdf","Package_DIP:DIP-16_W7.62mm","1",""
